Product ID,Product Name,Current Category,Subcategory,Application Tags,Holiday Tags,Source File
"Flexible Gift Set Use: Suitable for perfume samples","beauty minis","chocolate","candles","jewelry","accessories and small gifts.","Accio_Product_Upload_First20.csv"
"Christmas & Holiday Campaign Ready: Ideal for Christmas promotions","holiday gift sets","retail displays and influencer gifting.","","","","Accio_Product_Upload_First20.csv"
"Brand Customization: Size","artwork","color","logo","printing","foil stamping","Accio_Product_Upload_First20.csv"
"B2B Production Support: ShineleeBox supports structure development","sampling","finishing","hand assembly","quality control and export packing.,Perfume gift sets; Beauty advent calendars; Skincare sample collections; Chocolate and candy gifts; Small gift campaigns; Christmas holiday promotions; Retail and PR gift boxes,Structure: Book-style opening","drawer layout","Accio_Product_Upload_First20.csv"
"Calendar Days: 12-day","24-day","30-day or fully customized drawer quantity.","","","","Accio_Product_Upload_First20.csv"
"Materials: Rigid board","coated paper","specialty paper","velvet-touch paper and FSC paper option.","","","Accio_Product_Upload_First20.csv"
"Printing: CMYK printing","Pantone color matching","","","","","Accio_Product_Upload_First20.csv"
"Finishing: Gold foil","silver foil","debossing","spot UV","soft-touch lamination","glitter effect and ribbon decoration.","Accio_Product_Upload_First20.csv"
"Inserts: Paper insert","EVA insert","acrylic window","product holder and compartment customization.,Structure development; Physical sample making; Printing and finishing; Hand assembly; Quality control; Export packing support.,Contact Lisa at info@slpack.net or WhatsApp +86 18818840878 for a custom quote.,AC-023_gold-bar-advent-calendar-box,image_01.jpg,","","","Accio_Product_Upload_First20.csv"
"AC-025","Perfume Bottle Advent Calendar Box","Advent Calendar Boxes","Perfume Advent Calendar Boxes; Beauty Advent Calendar Boxes; Advent Calendar Gift Set","Perfume; Beauty; Skincare; Chocolate; Small Gift","Christmas; Holiday Campaign","Accio_Product_Upload_First20.csv"
"Flexible Gift Set Use: Suitable for perfume samples","beauty minis","chocolate","candles","jewelry","accessories and small gifts.","Accio_Product_Upload_First20.csv"
"Christmas & Holiday Campaign Ready: Ideal for Christmas promotions","holiday gift sets","retail displays and influencer gifting.","","","","Accio_Product_Upload_First20.csv"
"Brand Customization: Size","artwork","color","logo","printing","foil stamping","Accio_Product_Upload_First20.csv"
"B2B Production Support: ShineleeBox supports structure development","sampling","finishing","hand assembly","quality control and export packing.,Perfume gift sets; Beauty advent calendars; Skincare sample collections; Chocolate and candy gifts; Small gift campaigns; Christmas holiday promotions; Retail and PR gift boxes,Structure: Book-style opening","drawer layout","Accio_Product_Upload_First20.csv"
"Calendar Days: 12-day","24-day","30-day or fully customized drawer quantity.","","","","Accio_Product_Upload_First20.csv"
"Materials: Rigid board","coated paper","specialty paper","velvet-touch paper and FSC paper option.","","","Accio_Product_Upload_First20.csv"
"Printing: CMYK printing","Pantone color matching","","","","","Accio_Product_Upload_First20.csv"
"Finishing: Gold foil","silver foil","debossing","spot UV","soft-touch lamination","glitter effect and ribbon decoration.","Accio_Product_Upload_First20.csv"
"Inserts: Paper insert","EVA insert","acrylic window","product holder and compartment customization.,Structure development; Physical sample making; Printing and finishing; Hand assembly; Quality control; Export packing support.,Contact Lisa at info@slpack.net or WhatsApp +86 18818840878 for a custom quote.,AC-025_perfume-bottle-advent-calendar-box,image_01.jpg,","","","Accio_Product_Upload_First20.csv"
"AC-027","Music Vinyl Player Advent Calendar Box","Advent Calendar Boxes","Music Advent Calendar Boxes; Interactive Packaging; Advent Calendar Gift Set","Perfume; Beauty; Skincare; Chocolate; Small Gift","Christmas; Holiday Campaign","Accio_Product_Upload_First20.csv"
"Flexible Gift Set Use: Suitable for perfume samples","beauty minis","chocolate","candles","jewelry","accessories and small gifts.","Accio_Product_Upload_First20.csv"
"Christmas & Holiday Campaign Ready: Ideal for Christmas promotions","holiday gift sets","retail displays and influencer gifting.","","","","Accio_Product_Upload_First20.csv"
"Brand Customization: Size","artwork","color","logo","printing","foil stamping","Accio_Product_Upload_First20.csv"
"B2B Production Support: ShineleeBox supports structure development","sampling","finishing","hand assembly","quality control and export packing.,Perfume gift sets; Beauty advent calendars; Skincare sample collections; Chocolate and candy gifts; Small gift campaigns; Christmas holiday promotions; Retail and PR gift boxes,Structure: Book-style opening","drawer layout","Accio_Product_Upload_First20.csv"
"Calendar Days: 12-day","24-day","30-day or fully customized drawer quantity.","","","","Accio_Product_Upload_First20.csv"
"Materials: Rigid board","coated paper","specialty paper","velvet-touch paper and FSC paper option.","","","Accio_Product_Upload_First20.csv"
"Printing: CMYK printing","Pantone color matching","","","","","Accio_Product_Upload_First20.csv"
"Finishing: Gold foil","silver foil","debossing","spot UV","soft-touch lamination","glitter effect and ribbon decoration.","Accio_Product_Upload_First20.csv"
"Inserts: Paper insert","EVA insert","acrylic window","product holder and compartment customization.,Structure development; Physical sample making; Printing and finishing; Hand assembly; Quality control; Export packing support.,Contact Lisa at info@slpack.net or WhatsApp +86 18818840878 for a custom quote.,AC-027_music-vinyl-player-advent-calendar-box,image_01.jpg,video_01.mp4","","","Accio_Product_Upload_First20.csv"
"AC-028","LED Perfume Advent Calendar Box","Advent Calendar Boxes","Perfume Advent Calendar Boxes; Beauty Advent Calendar Boxes; LED Advent Calendar Boxes; Advent Calendar Gift Set","Perfume; Beauty; Skincare; Chocolate; Small Gift","Christmas; Holiday Campaign","Accio_Product_Upload_First20.csv"
"Flexible Gift Set Use: Suitable for perfume samples","beauty minis","chocolate","candles","jewelry","accessories and small gifts.","Accio_Product_Upload_First20.csv"
"Christmas & Holiday Campaign Ready: Ideal for Christmas promotions","holiday gift sets","retail displays and influencer gifting.","","","","Accio_Product_Upload_First20.csv"
"Brand Customization: Size","artwork","color","logo","printing","foil stamping","Accio_Product_Upload_First20.csv"
"B2B Production Support: ShineleeBox supports structure development","sampling","finishing","hand assembly","quality control and export packing.,Perfume gift sets; Beauty advent calendars; Skincare sample collections; Chocolate and candy gifts; Small gift campaigns; Christmas holiday promotions; Retail and PR gift boxes,Structure: Book-style opening","drawer layout","Accio_Product_Upload_First20.csv"
"Calendar Days: 12-day","24-day","30-day or fully customized drawer quantity.","","","","Accio_Product_Upload_First20.csv"
"Materials: Rigid board","coated paper","specialty paper","velvet-touch paper and FSC paper option.","","","Accio_Product_Upload_First20.csv"
"Printing: CMYK printing","Pantone color matching","","","","","Accio_Product_Upload_First20.csv"
"Finishing: Gold foil","silver foil","debossing","spot UV","soft-touch lamination","glitter effect and ribbon decoration.","Accio_Product_Upload_First20.csv"
"Inserts: Paper insert","EVA insert","acrylic window","product holder and compartment customization.,Structure development; Physical sample making; Printing and finishing; Hand assembly; Quality control; Export packing support.,Contact Lisa at info@slpack.net or WhatsApp +86 18818840878 for a custom quote.,AC-028_led-perfume-advent-calendar-box,image_01.jpg,","","","Accio_Product_Upload_First20.csv"
"AC-090","White Trapezoidal Leather Handle Folding Box","Luxury Gift Boxes","Folding Luxury Gift Boxes; Portable Gift Box; Magnetic Rigid Gift Box","Perfume; Beauty; Skincare; Luxury Gift; Fashion Accessories","Holiday Campaign; Retail Gift Set; Anniversary","Accio_Product_Upload_First20.csv"
"Brown Leather Carry Handle: Heavy-duty","comfortable strap secured with gold rivets for easy carrying and added boutique appeal.","","","","","Accio_Product_Upload_First20.csv"
"Magnetic Flip-top Flap: Concealed powerful neodymium magnets secure the front flap with a satisfying and luxurious snap.","","","","","","Accio_Product_Upload_First20.csv"
"Collapsible Folding Design: Ships flat to drastically reduce ocean freight costs and warehouse storage space","assembling in seconds.,Luxury perfume gifts; Premium cosmetics and skincare jars; Boutique fashion accessories; Designer jewelry; VIP event packaging; Influencer PR kits,Materials: Heavy 1200gsm rigid chipboard wrapped with premium art paper","or specialty soft-touch paper.","","","","Accio_Product_Upload_First20.csv"
"Handle: Faux leather","genuine leather","or cotton rope in various colors.","","","","Accio_Product_Upload_First20.csv"
"Printing & Finishing: CMYK offset","Pantone color matching","silver","rose gold)","embossing","debossing","Accio_Product_Upload_First20.csv"
"Inserts: Custom die-cut EVA foam","high-density sponge","silk fabric lining","or card partitions.,ShineleeBox is a Disney FAMA and BSCI certified manufacturer based in Guangzhou. We provide full structural packaging design","custom dielines","physical mockups within 3-5 days","Accio_Product_Upload_First20.csv"
"AC-091","Premium Magenta Ribbon Drawer Perfume Box","Perfume Packaging","Sliding Drawer Perfume Box; Fragrance Gift Boxes; Luxury Gift Boxes","Perfume; Fragrance; Beauty; Skincare; Luxury Gift","Holiday Campaign; Valentine's Day; Anniversary; Mother's Day","Accio_Product_Upload_First20.csv"
"Gold Satin Ribbon Pull: A luxurious","color-matched satin ribbon loop facilitates effortless pulling while adding an upscale finish.","","","","","Accio_Product_Upload_First20.csv"
"Dense 1200gsm Rigid Board: Durable","protective construction that protects fragile glass perfume bottles from impact during transit.","","","","","Accio_Product_Upload_First20.csv"
"Vibrant Matte Paper Wrap: High-quality","finger-print resistant matte paper in deep magenta that feels premium and velvet-like to touch.,Luxury perfume and cologne bottles; High-end fragrance discovery collections; Premium essential oils and elixirs; Luxury jewelry and watches; Skincare gift sets,Materials: High-density rigid board wrapped with matte paper","kraft paper","or premium velvet.","","","Accio_Product_Upload_First20.csv"
"Pull Tab: Silk ribbon","grosgrain ribbon","or custom-shaped finger cuts.","","","","Accio_Product_Upload_First20.csv"
"Sleeve Customization: Die-cut windows","transparent acrylic panels","","","","","Accio_Product_Upload_First20.csv"
"Inserts: Custom molded plastic with velvet flocking","precision laser-cut EVA foam","custom dielines","physical mockups within 3-5 days","precise mass production","manual assembly","Accio_Product_Upload_First20.csv"
"AC-092","Arabesque Gatefold Double Door Oud Box","Perfume Packaging","Gatefold Double Door Perfume Box; Middle Eastern Perfume Packaging; Religious Gift Packaging; Luxury Gift Boxes","Perfume; Fragrance; Religious & Cultural Gift; VIP Gifting","Ramadan; Eid; Wedding; Anniversary; Corporate Event","Accio_Product_Upload_First20.csv"
"Laser-Cut Arched Hollow Windows: Exquisite die-cut cathedral window frames that allow customers to peek at the luxury glass bottle inside.","","","","","","Accio_Product_Upload_First20.csv"
"Ornate Arabesque Foil Stamping: Intricate gold and silver hot foil stamping mapping Islamic floral-geometric symmetry with flawless precision.","","","","","","Accio_Product_Upload_First20.csv"
"Velvet Velvet-Touch Insert: A plush","deeply recessed velvet interior base tailored to protect and elevate heavy luxury crystal bottles.,Arabic Oud and Amber perfumes; Luxury fragrance gift sets; Eid and Ramadan commemorative gifts; Royal wedding and bridal favors; High-end corporate PR boxes,Structure: Gatefold dual doors","hexagonal shapes","or magnetic book-style structures.","","","Accio_Product_Upload_First20.csv"
"Finishing: Foil hot-stamping in gold","silver","rose gold","or hologram. Embossing","debossing","or spot UV varnishing.","Accio_Product_Upload_First20.csv"
"Materials: Fine textured cotton paper","specialty glitter paper","or premium velvet sheets.","","","","Accio_Product_Upload_First20.csv"
"Inserts: High-density EVA foam covered in silk","velvet","or micro-fiber leather.,ShineleeBox is a Disney FAMA and BSCI certified manufacturer based in Guangzhou. We provide full structural packaging design","custom dielines","physical mockups within 3-5 days","precise mass production","Accio_Product_Upload_First20.csv"
"AC-093","Crimson Red Lip Zippered Cosmetic Bag","Cosmetic Packaging","Custom Lip-Shaped Cosmetic Bag; Zippered Pouch; Luxury Gift Boxes","Beauty; Cosmetics; Lip Gloss; Skincare; Fashion Accessories","Valentine's Day; Mother's Day; Promotional Campaign; Birthday","Accio_Product_Upload_First20.csv"
"Smooth Golden Zipper: Durable","high-grade nylon zipper with golden metal puller that opens smoothly along the bag's curved crest.","","","","","Accio_Product_Upload_First20.csv"
"Waterproof Faux Leather: Made from premium PU leather with soft lining","ensuring durability","and easy wiping.","","","","Accio_Product_Upload_First20.csv"
"Gold Foil Brand Stamping: Your custom logo is hot stamped in the center with brilliant gold foil for a sophisticated corporate finish.,Lipstick and lip gloss bundle sets; Valentine's Day makeup promotions; Cosmetic PR and influencer launch kits; Designer travel accessory collections; Youth beauty brands,Materials: High-grade PU leather","textured Saffiano leather","canvas","or transparent TPU in various colors.","","","Accio_Product_Upload_First20.csv"
"Shape: Lip-shaped","heart-shaped","or custom cosmetic bag silhouettes.","","","","Accio_Product_Upload_First20.csv"
"Zipper & Puller: Gold","silver","plastic matching colors","or custom logo-engraved metal pullers.","","","Accio_Product_Upload_First20.csv"
"Lining: Satin","polyester","or waterproof nylon with custom internal pockets.,ShineleeBox is a Disney FAMA and BSCI certified manufacturer based in Guangzhou. We provide full structural packaging design","custom dielines","physical mockups within 3-5 days","precise mass production","Accio_Product_Upload_First20.csv"
"AC-094","Arched Single Door Perfume Travel Set Box","Perfume Packaging","Arched Single Door Perfume Box; Travel Perfume Set; Luxury Gift Boxes","Perfume; Fragrance; Beauty; Travel Gift Set; Retail & PR Packaging","Mother's Day; Birthday; Holiday Gift Set; Limited Edition Gift Set","Accio_Product_Upload_First20.csv"
"Single-Panel Door Display: The front panel door swings open to fully display the bottles","doubling as an exquisite retail counter display.","","","","","Accio_Product_Upload_First20.csv"
"3-Bottle Custom Insert: Precisely measured","velvet-covered insert cavities that secure three perfume bottles safely in place.","","","","","Accio_Product_Upload_First20.csv"
"Classic Harlequin Wrapping: Premium printed art paper featuring a vintage green diamond grid outlined with delicate gold foil stamping.,3-piece perfume or cologne gift sets; Fragrance travel collections; Essential oil trios; Upscale cosmetics and beauty oils; Limited-edition holiday releases,Materials: Heavy cardboard rigid board","wrapped with printed art paper","or colored specialty stock.","","","","Accio_Product_Upload_First20.csv"
"Pattern: Harlequin diamond","chevron waves","or solid minimalist colors.","","","","Accio_Product_Upload_First20.csv"
"Insert Layout: Custom laser-cut cavities for 1","2","or more bottles","with silk","velvet","or printed card finishes.","Accio_Product_Upload_First20.csv"
"Finishing: Metallic gold/silver hot foil","spot UV","debossing","or magnetic door closures.,ShineleeBox is a Disney FAMA and BSCI certified manufacturer based in Guangzhou. We provide full structural packaging design","custom dielines","physical mockups within 3-5 days","Accio_Product_Upload_First20.csv"
"AC-095","Arched Single Door Fragrance Discovery Display Box","Perfume Packaging","Arched Single Door Perfume Box; Fragrance Discovery Set; Luxury Gift Boxes","Perfume; Fragrance; Beauty; Discovery Set; Retail & PR Packaging; VIP Gifting","Christmas; Holiday Campaign; Limited Edition Gift Set; New Year","Accio_Product_Upload_First20.csv"
"6-Bottle Double-Row Layout: Accommodates 6 fragrance bottles or travel sprays","perfect for complete brand discovery collections.","","","","","Accio_Product_Upload_First20.csv"
"Tactile Black & Gold Waves: Specialty paper printed with organic wavy patterns in brilliant gold foil","offering a stunning texture.","","","","","Accio_Product_Upload_First20.csv"
"Premium Velvet Insert Tray: Contrast red velvet insert tray that cushions and securely holds fragile glass perfume samples.,6-piece fragrance discovery collections; Ultimate luxury cologne sets; Premium cosmetics and skincare vial collections; High-end influencer PR kits; Specialty boutique retail displays,Materials: Heavy cardboard rigid board","wrapped with textured specialty paper","or premium velvet sheets.","","","","Accio_Product_Upload_First20.csv"
"Insert: Velvet","satin","or eco-friendly paper tray","cut to match any bottle shape.","","","Accio_Product_Upload_First20.csv"
"Capacity: Custom dielines for 4","5","8","or 12 bottles in various rows and sizes.","","","Accio_Product_Upload_First20.csv"
"Finishing: Gold","silver","or red hot foil stamping","custom-printed interior patterns","and magnetic door lock.,ShineleeBox is a Disney FAMA and BSCI certified manufacturer based in Guangzhou. We provide full structural packaging design","custom dielines","Accio_Product_Upload_First20.csv"
"SLF-001","Collapsible Magnetic Tote Gift Box with Die-Cut Handle","Rigid Box","Luxury Apparel;Gourmet Food;Corporate Gifting","Daily;Promotion","No","Accio_Product_Upload_First20.csv"
"SLF-002","Large Magnetic Rigid Box with Silk Ribbon Closure","Rigid Box","Bridal Gifts;Luxury Hampers;Premium Apparel","Wedding;Holiday","No","Accio_Product_Upload_First20.csv"
"SLF-003","Classic Two-Piece Lid and Base Rigid Box","Rigid Box","Electronics;Jewelry;Confectionery","Daily;Corporate","No","Accio_Product_Upload_First20.csv"
"SLF-004","Luxury Magnetic Rigid Box with Integrated Handle","Rigid Box","Tech Gadgets;VIP Gifts;Premium Retail","Corporate;VIP","No","Accio_Product_Upload_First20.csv"
"SLF-005","Premium Sliding Drawer Rigid Gift Box","Rigid Box","Cosmetics;Jewelry;Stationery","Daily;Subscription","No","Accio_Product_Upload_First20.csv"
"SLF-006","Butterfly Double-Door Opening Luxury Magnetic Box","Rigid Box","High-End Jewelry;PR Kits;Luxury Gifts","Celebration;VIP;PR","No","Accio_Product_Upload_First20.csv"
"IP-001","Magnetic Light-Up Gift Box","","LED Light-Up Gift Box; Magnetic Gift Box","Perfume / Beauty / Skincare / Chocolate / Small Gift / Retail & PR Packaging","Christmas / Holiday Campaign / Limited Edition Gift Set","Accio_Interactive_Product_Upload.csv"
"IP-002","Music Vinyl Player Gift Box","","Music Box; Sound Packaging; Gift Set Box","Perfume / Beauty / Skincare / Chocolate / Small Gift / Retail & PR Packaging","Christmas / Holiday Campaign / Limited Edition Gift Set","Accio_Interactive_Product_Upload.csv"
"IP-003","Lantern Light-Up Gift Box","","Lantern Gift Box; LED Packaging","Perfume / Beauty / Skincare / Chocolate / Small Gift / Religious & Cultural Gift Packaging","Christmas / Holiday Campaign / Limited Edition Gift Set","Accio_Interactive_Product_Upload.csv"
"IP-004","Sensor Light-Up Mooncake Gift Box","","Light-Up Food Gift Box; Festival Gift Packaging","Chocolate / Food / Small Gift / Festival Gift Packaging / Retail Gift Set","Christmas / Holiday Campaign / Limited Edition Gift Set","Accio_Interactive_Product_Upload.csv"
"IP-005","Deep Space Light-Up Gift Box","","Light-Up PR Box; Custom Shape Gift Box","Perfume / Beauty / Skincare / Chocolate / Small Gift / Retail & PR Packaging","Christmas / Holiday Campaign / Limited Edition Gift Set","Accio_Interactive_Product_Upload.csv"
"IP-006","Music Vinyl Player Advent Calendar Box","","Music Advent Calendar; Beauty Gift Set Packaging","Perfume / Beauty / Skincare / Chocolate / Small Gift / Retail & PR Packaging","Christmas / Holiday Campaign / Limited Edition Gift Set","Accio_Interactive_Product_Upload.csv"
"IP-007","LED Perfume Advent Calendar Box","","LED Perfume Advent Calendar; Beauty Gift Set Packaging","Perfume / Beauty / Skincare / Chocolate / Small Gift / Retail & PR Packaging","Christmas / Holiday Campaign / Limited Edition Gift Set","Accio_Interactive_Product_Upload.csv"
"LM-001","Shinelee Baby Milestone Video Keepsake Box with 7 inch Screen","","Video Memory Box","Baby Milestone;Newborn Gift","Baby Milestone;Newborn","Accio_Life_Memory_Upload.csv"
"LM-002","Deluxe Wedding Video Box A4 Keepsake Album Box Pearl White","","Video Memory Box","Wedding Gift;Anniversary","Wedding;Anniversary","Accio_Life_Memory_Upload.csv"
"LM-003","In Loving Memory Video Tribute Box with 7 Inch Display","","Video Memory Box","Memorial Gift;Funeral","Eternal Memorial","Accio_Life_Memory_Upload.csv"
"LM-004","Emerald Green Islamic Hajj Gift Box with 7 inch Screen","","Video Memory Box","Religious Gift;Islamic","Hajj;Umrah","Accio_Life_Memory_Upload.csv"
"LM-005","Luxury White Baptism Keepsake Box with 7 Inch Screen","","Video Memory Box","Religious Gift;Baptism","Baptism;Holy Communion","Accio_Life_Memory_Upload.csv"
"LM-006","Navy Blue Jewish Bar Mitzvah Keepsake Box with 7 Inch LCD","","Video Memory Box","Religious Gift;Jewish","Bar Mitzvah;Bat Mitzvah","Accio_Life_Memory_Upload.csv"
"LM-007","Cute Pet Memorial Box with 7 Inch Screen for Dog Cat","","Video Memory Box","Pet Gift;Memorial","Pet Memorial","Accio_Life_Memory_Upload.csv"
"LM-008","Class of 2026 Graduation Video Box A4 Certificate Case","","Video Memory Box","Graduation Gift;Education","Graduation","Accio_Life_Memory_Upload.csv"
"LM-009","Premium Corporate VIP Video Gift Box A4 Size with LCD","","Video Memory Box","Corporate Gift;VIP","Corporate;Promotion","Accio_Life_Memory_Upload.csv"
"RG-001","Breathable Paper Miswak Holder Sleeves with Anti-mold Tech","","Miswak Holder","Muslim Travel;Personal Care","Travel;Daily","Accio_Religious_Product_Upload.csv"
"RG-002","Premium Waterproof Hajj & Umrah Tracking Cards with Lanyard","","Prayer Guide","Pilgrim Essentials;Hajj;Umrah","Hajj;Umrah","Accio_Religious_Product_Upload.csv"
"RG-003","DIY Cardboard Zakat Box for Kids - Educational Sadaqah Bank","","Charity Box","Educational;Charity","Ramadan;Eid","Accio_Religious_Product_Upload.csv"
"RG-004","Professional Hospital Wudu Kit - Disposable Tayammum Pad","","Wudu Kit","Clinical;Medical;Religious","Medical;Recovery","Accio_Religious_Product_Upload.csv"
"RG-005","LED Lighted Holy Water Bottle Gift Box Set","","Holy Water Box","Church;Baptism;Souvenir","Baptism;Sacrament","Accio_Religious_Product_Upload.csv"
"RG-006","49 Pcs Hajj & Umrah Ritual Stone Box Set - Jamarat Kit","","Jamarat Pouch","Hajj;Umrah;Essentials","Hajj;Umrah","Accio_Religious_Product_Upload.csv"
"RG-007","Janazah Emergency Kit - Standardized Hospital Funeral Box","","Funeral Box","Clinical;Care;Religious","Funeral;Memorial","Accio_Religious_Product_Upload.csv"
"RG-008","Sadaqah Milestone Box with Progress Window & Daily Log","","Charity Box","Educational;Family","Daily;Ramadan","Accio_Religious_Product_Upload.csv"
"RG-009","Removable Qibla Direction Stickers - 1000pcs Bulk Roll","","Qibla Sticker","Hotel;Airbnb;Prayer Room","Daily;Hospitality","Accio_Religious_Product_Upload.csv"
"RG-010","Premium Tayammum Pad Corrugated Board with Dust for Dry Ablution","","Tayammum Pad","Islamic Ritual;Travel Essentials;Medical","Daily;Religious;Medical","Accio_Religious_Product_Upload.csv"
"GC-001","Interactive 3D Pop-Up Birthday Card with Light and Music","","3D Greeting Card","Gift Accessory;Interactive","Birthday;Celebration","Accio_Greeting_Cards_Upload.csv"
"GC-002","3D Pop-Up Festive Greeting Card with Bear and Balloons","","3D Greeting Card","Gift Accessory;Holiday Blessing","Mother's Day;Father's Day;Teacher's Day","Accio_Greeting_Cards_Upload.csv"
"GC-003","Customizable 3D Pop-Up Invitations and Admission Letters","","Custom 3D Card","School Admission;Event Invitation","Education;Wedding;Corporate","Accio_Greeting_Cards_Upload.csv"
"GC-004","3D Pop-Up Music and Light Birthday Cake Card - Starry Night","","3D Greeting Card","Corporate Gifting;Premium Celebrations","Birthday;Anniversary","Accio_Greeting_Cards_Upload.csv"
"GC-005","Creative 3D Pop-Up Floral Wedding Car Greeting Card","","3D Greeting Card","Wedding Invitation;Home Decor","Wedding;Anniversary;Valentine","Accio_Greeting_Cards_Upload.csv"
"GC-006","Custom 3D Pop-Up Romantic Photo Frame Greeting Card","","3D Greeting Card","Couple Gifts;Bespoke Gifting","Valentine;Wedding;Anniversary","Accio_Greeting_Cards_Upload.csv"
"PP-001","Luxury Triangle Window Perfume Gift Box","","Perfume Packaging","Perfume;Fragrance;Beauty;Gift Set","Luxury Gift;Holiday Campaign;PR Launch","Accio_Cosmetic_Perfume_Final.csv"
"PP-002","Bespoke Perfume Bottle Shape Gift Box","","Perfume Packaging","Perfume;Fragrance;Gift Set;Retail Packaging","Holiday Gift;Brand Launch;Premium Promotion","Accio_Cosmetic_Perfume_Final.csv"
"PP-003","Luxury Double Door Arch Display Perfume Box","","Perfume Packaging","Perfume;Fragrance;Luxury Gift Set;PR Box","Luxury Gift;Limited Edition;Holiday Campaign","Accio_Cosmetic_Perfume_Final.csv"
"PP-004","Exclusive V-Opening Luxury Perfume Box","","Perfume Packaging","Perfume;Fragrance;Luxury Packaging;Gift Set","Premium Gift;Brand Launch;Holiday Gift","Accio_Cosmetic_Perfume_Final.csv"
"PP-005","Premium Octagonal Perfume Gift Box with Insert","","Perfume Packaging","Perfume;Fragrance;Beauty Gift Set;Retail Packaging","Holiday Gift;Premium Promotion;Product Launch","Accio_Cosmetic_Perfume_Final.csv"
"CP-001","Custom Snowflake Cosmetic Gift Set Box for Holiday","","Cosmetic Packaging","Cosmetic;Skincare;Beauty;Perfume Mini Set","Christmas;Winter Holiday;Limited Edition","Accio_Cosmetic_Perfume_Final.csv"
"CP-002","Romantic Heart Shape Cosmetic Gift Set Box","","Cosmetic Packaging","Cosmetic;Skincare;Body Care;Perfume Gift Set","Valentine;Anniversary;Romantic Gift;Holiday Campaign","Accio_Cosmetic_Perfume_Final.csv"
"CP-003","Premium Pink Drawer Cosmetic Gift Set Box","","Cosmetic Packaging","Cosmetic;Beauty;Skincare;Perfume Mini Set;PR Box","Holiday Gift;PR Launch;Retail Gift Set","Accio_Cosmetic_Perfume_Final.csv"
"CFP-001","Custom Window Handle Cake Box","Cake Boxes","","Custom Custom Window Handle Cake Box | Cake Boxes Manufacturer","Custom custom window handle cake box for cake; bakery; pastry; dessert. MOQ from 50 pcs. Custom size","Accio_Chocolate_Food_Upload.csv"
"CFP-002","Custom 1-Piece Cupcake Box","Cake Boxes","","Custom Custom 1-Piece Cupcake Box | Cake Boxes Manufacturer","Custom custom 1-piece cupcake box for cupcake; bakery; pastry; dessert. MOQ from 50 pcs. Custom size","Accio_Chocolate_Food_Upload.csv"
"CFP-003","Custom Mini Cupcake Box","Cake Boxes","","Custom Custom Mini Cupcake Box | Cake Boxes Manufacturer","Custom custom mini cupcake box for cupcake; bakery; pastry; dessert. MOQ from 50 pcs. Custom size","Accio_Chocolate_Food_Upload.csv"
"CFP-004","Custom 4-Piece Cupcake Box","Cake Boxes","","Custom Custom 4-Piece Cupcake Box | Cake Boxes Manufacturer","Custom custom 4-piece cupcake box for cupcake; bakery; dessert gift. MOQ from 50 pcs. Custom size","Accio_Chocolate_Food_Upload.csv"
"CFP-005","Custom 6-Piece Cupcake Box","Cake Boxes","","Custom Custom 6-Piece Cupcake Box | Cake Boxes Manufacturer","Custom custom 6-piece cupcake box for cupcake; bakery; dessert gift. MOQ from 50 pcs. Custom size","Accio_Chocolate_Food_Upload.csv"
"CFP-006","Custom 9-Piece Cupcake Box","Cake Boxes","","Custom Custom 9-Piece Cupcake Box | Cake Boxes Manufacturer","Custom custom 9-piece cupcake box for cupcake; bakery; dessert gift. MOQ from 50 pcs. Custom size","Accio_Chocolate_Food_Upload.csv"
"CFP-007","Custom Folding Cake and Pastry Box","Cake Boxes","","Custom Custom Folding Cake and Pastry Box | Cake Boxes Manufacturer","Custom custom folding cake and pastry box for cake; pastry; dessert; bakery gift. MOQ from 50 pcs. Custom size","Accio_Chocolate_Food_Upload.csv"
"CFP-008","Custom Geometric Chocolate Gift Box","Chocolate Boxes","","Custom Custom Geometric Chocolate Gift Box | Chocolate Boxes Manufacturer","Custom custom geometric chocolate gift box for chocolate; truffle; confectionery; dessert gift. MOQ from 50 pcs. Custom size","Accio_Chocolate_Food_Upload.csv"
"CFP-009","Custom Rigid Chocolate Gift Box","Chocolate Boxes","","Custom Custom Rigid Chocolate Gift Box | Chocolate Boxes Manufacturer","Custom custom rigid chocolate gift box for chocolate; truffle; confectionery; gift packaging. MOQ from 50 pcs. Custom size","Accio_Chocolate_Food_Upload.csv"
"CFP-010","Custom Premium Chocolate Box","Chocolate Boxes","","Custom Custom Premium Chocolate Box | Chocolate Boxes Manufacturer","Custom custom premium chocolate box for chocolate; truffle; confectionery; gift packaging. MOQ from 50 pcs. Custom size","Accio_Chocolate_Food_Upload.csv"
"CFP-011","Custom Round Chocolate Gift Box","Chocolate Boxes","","Custom Custom Round Chocolate Gift Box | Chocolate Boxes Manufacturer","Custom custom round chocolate gift box for chocolate; truffle; confectionery; luxury gift. MOQ from 50 pcs. Custom size","Accio_Chocolate_Food_Upload.csv"
"CFP-012","Custom Chocolate Tray Gift Box","Chocolate Boxes","","Custom Custom Chocolate Tray Gift Box | Chocolate Boxes Manufacturer","Custom custom chocolate tray gift box for chocolate; truffle; confectionery; food gift. MOQ from 50 pcs. Custom size","Accio_Chocolate_Food_Upload.csv"
